tenure_months,monthly_charges,support_tickets,contract_type,region,churned
42,114.79,6,two-year,north,0
65,41.47,1,one-year,west,0
55,25.91,9,month-to-month,south,0
7,117.63,0,two-year,south,0
16,77.09,8,two-year,south,1
9,76.44,9,month-to-month,west,1
41,66.56,7,one-year,east,0
39,72.52,5,two-year,west,0
16,71.19,2,one-year,south,0
72,77.3,5,one-year,east,0
59,26.88,1,one-year,west,0
58,48.46,6,two-year,east,0
22,81.09,7,month-to-month,south,1
64,28.06,7,one-year,east,0
71,47.84,6,one-year,west,0
30,21.21,9,month-to-month,east,1
69,56.93,9,one-year,south,0
7,65.66,8,one-year,west,1
52,26.22,1,,west,0
20,73.66,5,two-year,north,0
49,34.86,4,one-year,east,0
62,68.38,1,month-to-month,north,0
62,102.89,2,two-year,north,0
4,95.81,4,two-year,north,1
47,110.83,5,month-to-month,east,1
25,100.61,6,two-year,south,0
4,118.96,4,one-year,east,1
45,115.5,5,month-to-month,south,1
44,40.44,9,two-year,north,0
16,110.98,3,one-year,south,0
12,100.08,6,one-year,west,1
4,35.12,7,two-year,south,0
61,85.73,5,month-to-month,south,1
18,63.38,3,month-to-month,north,1
31,96.37,5,one-year,west,0
67,62.06,8,,south,0
57,97.65,9,month-to-month,south,1
42,88.23,8,two-year,west,0
72,25.68,3,one-year,north,0
9,64.32,9,two-year,south,0
69,100.74,8,month-to-month,east,1
54,32.16,7,one-year,north,0
28,86.95,1,month-to-month,east,1
13,59.83,7,month-to-month,south,1
,60.38,6,month-to-month,east,0
57,90.32,6,one-year,east,0
30,117.17,1,month-to-month,east,0
55,104.96,4,one-year,south,0
64,90.04,1,one-year,north,0
3,83.44,4,month-to-month,south,1
59,21.15,8,one-year,east,0
21,46.19,2,month-to-month,east,0
27,49.0,8,two-year,south,0
3,93.31,8,month-to-month,west,1
56,85.65,8,one-year,east,0
,60.47,5,month-to-month,south,0
33,63.07,0,month-to-month,west,0
38,24.52,2,month-to-month,east,0
43,117.26,8,one-year,south,1
43,58.16,7,one-year,south,0
12,46.42,1,month-to-month,west,0
11,78.56,8,month-to-month,west,1
64,34.95,9,two-year,south,0
65,33.93,8,two-year,north,0
30,28.51,0,month-to-month,east,0
,82.62,3,one-year,east,0
65,109.79,1,two-year,north,0
31,92.93,3,month-to-month,west,0
62,111.05,4,month-to-month,south,0
39,82.12,2,month-to-month,west,0
13,89.22,7,one-year,east,1
26,51.17,1,one-year,north,0
65,116.81,7,one-year,west,0
19,94.75,4,one-year,south,1
36,108.69,5,,west,1
63,88.16,6,one-year,south,0
16,104.02,0,one-year,east,0
38,45.32,1,one-year,west,0
47,112.54,4,month-to-month,east,1
32,117.1,6,two-year,east,0
55,108.43,6,two-year,south,0
18,84.45,4,one-year,north,0
22,67.22,5,one-year,east,0
31,50.08,8,two-year,west,0
10,40.79,7,two-year,south,0
71,39.24,1,month-to-month,east,0
48,45.84,9,month-to-month,north,1
49,47.02,0,one-year,east,0
65,72.92,3,month-to-month,east,0
40,104.87,0,month-to-month,north,0
61,116.83,7,month-to-month,north,0
58,44.85,1,month-to-month,south,0
14,114.15,7,month-to-month,north,1
39,116.24,4,two-year,west,0
,50.03,9,month-to-month,west,1
59,47.86,5,two-year,south,0
32,22.93,6,two-year,east,0
11,45.73,6,one-year,south,0
54,56.23,6,month-to-month,north,0
26,51.17,3,month-to-month,west,0
38,30.9,9,one-year,south,0
19,112.19,0,month-to-month,north,0
7,90.99,2,one-year,west,1
22,52.92,2,two-year,west,0
49,103.91,5,one-year,south,0
16,76.11,3,one-year,east,0
56,28.78,7,month-to-month,east,0
61,23.03,6,month-to-month,west,0
9,100.33,0,one-year,south,0
,46.22,5,one-year,east,0
9,22.43,3,month-to-month,west,0
,101.48,2,one-year,south,0
39,102.28,2,two-year,south,0
11,71.19,6,month-to-month,south,1
62,75.26,5,month-to-month,west,1
13,62.11,7,month-to-month,south,1
31,94.8,1,one-year,east,0
57,44.74,3,month-to-month,south,0
25,52.63,6,one-year,south,0
5,30.23,7,month-to-month,west,1
38,43.29,0,month-to-month,south,0
34,97.5,0,month-to-month,east,0
19,24.42,4,month-to-month,south,1
40,27.79,0,one-year,west,0
51,86.4,2,two-year,north,0
40,61.78,0,,east,0
47,84.45,6,two-year,west,0
12,60.62,5,one-year,south,0
19,84.07,6,month-to-month,east,1
22,112.55,1,one-year,west,0
26,50.16,0,one-year,east,0
21,84.03,3,two-year,west,0
61,38.3,3,month-to-month,west,0
25,24.11,8,two-year,north,0
50,79.95,8,two-year,east,0
,64.68,7,month-to-month,north,0
60,43.53,9,one-year,south,0
47,29.17,7,two-year,north,0
41,97.76,8,month-to-month,north,1
4,105.71,9,two-year,north,1
63,48.79,2,two-year,south,0
36,110.51,7,month-to-month,east,1
27,79.19,9,two-year,south,0
36,87.97,6,month-to-month,east,1
47,116.62,7,two-year,north,0
48,46.48,5,two-year,south,0
57,43.0,9,two-year,north,0
41,93.3,0,month-to-month,south,0
54,71.27,0,,west,0
46,50.37,8,one-year,south,0
18,40.42,9,one-year,south,1
13,26.37,2,two-year,east,0
2,25.61,8,one-year,west,0
1,24.4,8,month-to-month,west,1
14,21.24,8,two-year,south,0
54,101.34,2,two-year,east,0
62,91.54,0,one-year,west,0
29,119.66,4,month-to-month,north,1
34,91.17,4,two-year,west,0
28,28.54,8,month-to-month,south,0
26,114.47,5,month-to-month,west,1
69,66.95,8,two-year,north,0
30,77.03,4,month-to-month,west,1
4,31.19,9,month-to-month,east,1
4,24.16,0,two-year,north,0
69,109.13,1,two-year,west,0
15,23.39,1,two-year,east,0
38,51.91,6,one-year,north,0
7,91.58,5,one-year,west,1
56,71.86,1,one-year,west,0
28,91.44,1,two-year,east,0
7,20.44,7,month-to-month,west,1
64,79.26,8,one-year,south,0
15,113.87,1,one-year,north,0
52,112.85,1,one-year,north,0
22,57.93,3,one-year,south,0
5,54.85,5,two-year,south,0
60,63.88,4,two-year,south,0
31,70.77,4,one-year,south,0
45,36.09,5,month-to-month,east,0
14,36.46,1,month-to-month,west,0
36,39.62,1,one-year,south,0
2,59.9,6,two-year,south,0
52,20.55,3,one-year,west,0
30,87.96,1,one-year,west,0
52,91.32,2,,west,0
53,71.83,2,two-year,east,0
5,45.12,3,month-to-month,south,0
59,74.1,7,two-year,north,0
59,41.01,2,one-year,north,0
8,45.25,6,one-year,north,1
46,78.02,1,month-to-month,east,0
68,117.15,6,one-year,south,0
25,66.92,8,two-year,south,1
53,66.81,4,two-year,south,0
49,88.75,6,two-year,south,0
36,55.8,4,one-year,west,0
20,112.87,6,month-to-month,north,1
18,73.06,5,two-year,north,0
13,77.85,3,month-to-month,west,1
52,99.17,2,two-year,north,0
26,69.45,3,two-year,north,0
15,75.51,4,one-year,south,0
19,90.04,3,one-year,south,0
1,36.04,5,one-year,west,0
10,38.05,5,two-year,north,0
43,100.86,1,two-year,west,0
17,53.86,5,one-year,west,0
27,48.42,5,one-year,east,0
52,53.37,4,two-year,east,0
16,53.09,5,two-year,east,0
52,92.27,6,two-year,north,0
6,38.99,7,two-year,north,0
11,41.25,7,two-year,south,0
5,62.16,1,two-year,north,0
34,106.25,2,one-year,north,0
7,69.78,8,month-to-month,north,1
9,21.41,6,two-year,south,0
,28.29,7,month-to-month,south,1
,41.82,1,month-to-month,west,0
32,65.08,2,month-to-month,east,0
11,49.31,8,two-year,west,0
33,111.35,0,two-year,north,0
11,58.89,4,two-year,south,0
8,51.63,9,two-year,west,0
21,82.97,6,one-year,west,0
35,98.46,9,one-year,east,1
43,106.96,0,month-to-month,east,0
,57.67,6,two-year,south,0
55,35.73,0,one-year,south,0
19,47.38,8,two-year,west,0
26,98.77,3,one-year,north,0
27,112.6,9,month-to-month,west,1
30,59.82,8,one-year,east,0
25,41.27,1,month-to-month,east,0
20,44.63,7,one-year,north,1
11,35.62,9,month-to-month,east,1
63,78.67,3,one-year,east,0
17,45.4,0,one-year,south,0
48,107.07,7,one-year,north,0
16,90.64,1,one-year,east,0
51,38.27,2,one-year,south,0
5,114.17,5,month-to-month,north,1
62,25.58,2,one-year,north,0
39,78.98,7,two-year,north,0
49,36.86,3,month-to-month,north,0
5,35.7,3,month-to-month,east,1
50,104.22,1,one-year,east,0
15,82.82,2,one-year,south,0
57,107.07,4,one-year,west,0
38,53.45,2,one-year,west,0
66,25.69,3,two-year,west,0
26,117.07,6,one-year,south,1
8,103.23,4,month-to-month,north,1
66,34.01,0,two-year,east,0
24,33.81,2,two-year,south,0
11,102.9,9,two-year,west,1
25,78.29,3,month-to-month,north,0
8,71.85,5,,east,1
62,33.33,4,month-to-month,south,0
5,36.35,5,two-year,north,0
46,91.46,5,two-year,west,0
38,107.28,7,one-year,north,0
29,81.91,2,month-to-month,east,0
4,21.95,3,one-year,north,0
57,30.29,1,two-year,south,0
64,78.59,4,month-to-month,north,0
30,34.72,9,one-year,west,1
50,89.39,9,two-year,north,0
31,103.86,6,two-year,east,0
7,52.49,2,two-year,east,0
68,38.75,5,one-year,south,0
18,62.07,6,one-year,north,1
35,111.79,9,one-year,north,0
67,21.37,3,month-to-month,east,0
66,110.14,1,one-year,south,0
38,111.56,9,one-year,east,1
29,85.04,3,two-year,east,0
62,66.9,4,month-to-month,south,0
51,21.19,5,month-to-month,south,0
35,48.48,3,one-year,north,0
57,85.77,8,one-year,west,0
67,42.52,2,one-year,east,0
36,102.12,8,month-to-month,west,1
17,61.3,1,month-to-month,west,0
20,61.79,4,two-year,north,0
59,48.81,5,one-year,east,0
64,58.07,4,month-to-month,east,0
49,78.16,1,one-year,east,0
55,109.13,0,month-to-month,north,0
39,112.03,4,two-year,west,0
46,24.07,5,one-year,north,0
13,60.95,8,one-year,south,1
44,89.16,1,month-to-month,east,0
40,71.26,1,two-year,east,0
54,83.11,8,one-year,south,0
24,26.02,9,two-year,north,0
53,21.07,0,one-year,north,0
13,78.62,0,month-to-month,south,0
69,71.43,2,two-year,south,0
21,71.84,8,month-to-month,north,1
56,100.66,0,two-year,north,0
19,91.55,5,one-year,south,1
,54.89,7,two-year,west,0
51,78.27,0,one-year,north,0
23,51.48,7,one-year,west,0
64,117.95,1,month-to-month,west,0
63,22.24,3,month-to-month,south,0
1,117.15,4,one-year,east,1
